Appartement à vendre,1 065 000 €10 758 €/m²,5,3,99,1/6,"Muette Sud, Paris 16ème (75016)","COUP DE COEUR, à moins de 6 min à pied du métro La Muette et non loin des quais de Seine. Le Cabinet Br-Immobilier vous propose cet AGRÉABLE 5 pièces en ANGLE en TRÈS BON ÉTAT général avec le CHARME ...",BR Immobilier
Appartement à vendre,194 000 €5 389 €/m²,2,1,36,2/2,"Dhuys-Hoche, Bagnolet (93170)",93170- BAGNOLET - T2 - 36 m² - LUMINEUX - Grand Quartier - Proximité Métro & Commerces - 10 mn à pied de Paris Les + : Luminosité - Petite Copropriété - Centre Ville - Traversant Gaël Brossaud ( ) et...,efficity   Gael Brossaud
Appartement à vendre,450 000 €14 063 €/m²,2,1,32,2/6,"Saint Germain des Prés, Paris 6ème (75006)","ADRESSE PRESTIGIEUSE : Appartement à usage MIXTE (Habitation + professionnel) dans un SECTEUR très recherché, Rue de Rennes (The place To Be). (Projection d'aménagement) Entre le Métro SAINT-GERMAIN-...",BR Immobilier
Appartement à vendre,450 000 €14 063 €/m²,2,1,32,2/6,"Saint Germain des Prés, Paris 6ème (75006)","ADRESSE PRESTIGIEUSE : Appartement à usage MIXTE (Habitation + professionnel) dans un SECTEUR très recherché, Rue de Rennes (The place To Be). (Projection d'aménagement) Entre le Métro SAINT-GERMAIN-...",BR Immobilier
Duplex à vendre,892 500 €6 276 €/m²,5,4,"142,2",,"Georges Brassens, Paris 15ème (75015)","Nous présentons un appartement traversant Est/Ouest à rénover de 142 m2 de superficie habitable ""loi Carrez"", dont le DPE actuellement en ""F"" passe en ""E"" au 1er janvier 2026 du fait de son mode de c...",VOUILLÉ IMMOBILIER
Duplex à vendre,892 500 €6 276 €/m²,5,4,"142,2",,"Georges Brassens, Paris 15ème (75015)","Nous présentons un appartement traversant Est/Ouest à rénover de 142 m2 de superficie habitable ""loi Carrez"", dont le DPE actuellement en ""F"" passe en ""E"" au 1er janvier 2026 du fait de son mode de c...",VOUILLÉ IMMOBILIER
Appartement à vendre,1 020 000 €8 293 €/m²,4,2,123,,Paris 11ème (75011),"CHARONNE // ALEXANDRE DUMAS Au coeur d'un quartier vivant, à proximité des métros Alexandre Dumas (ligne 2) & Charonne (ligne 9), proche de toutes commodités, Oddsen immobilier a le plaisir de vous p...",Ōddsen Immobilier
Appartement à vendre,1 020 000 €8 293 €/m²,4,2,123,,Paris 11ème (75011),"CHARONNE // ALEXANDRE DUMAS Au coeur d'un quartier vivant, à proximité des métros Alexandre Dumas (ligne 2) & Charonne (ligne 9), proche de toutes commodités, Oddsen immobilier a le plaisir de vous p...",Ōddsen Immobilier
Appartement à vendre,810 000 €16 200 €/m²,2,1,50,7/7,"Trudaine-Maubeuge, Paris 9ème (75009)","COUP DE CŒUR UNIQUE / DERNIER ÉTAGE VUE EXCEPTIONNELLE SUR PLUSIEURS MONUMENTS ET LES TOITS DE PARIS À proximité immédiate de la rue des Martyrs, à moins de 5 min à pied des métros Pigalle (M2) et An...",BR Immobilier
Appartement à vendre,810 000 €16 200 €/m²,2,1,50,7/7,"Trudaine-Maubeuge, Paris 9ème (75009)","COUP DE CŒUR UNIQUE / DERNIER ÉTAGE VUE EXCEPTIONNELLE SUR PLUSIEURS MONUMENTS ET LES TOITS DE PARIS À proximité immédiate de la rue des Martyrs, à moins de 5 min à pied des métros Pigalle (M2) et An...",BR Immobilier
