type_bien,prix,pieces,chambres,surface,etage,adresse,description,agence
Appartement à vendre - neuf,175 500 €4 273 €/m²,2,1,"41,1",,"Pleyel, Saint-Denis (93200)","LIVRAISON 1T 2027 – BRS + TVA réduite 5.5% + Prêt à Taux Zéro (Sous condition de ressources et d'éligibilité). Vous devenez propriétaire de votre résidence principale, tout en restant locataire du te...",CREDIT AGRICOLE IMMOBILIER PROMOTION
Appartement à vendre - neuf,326 300 €3 647 €/m²,5,3,"89,5",,"Pleyel, Saint-Denis (93200)","LIVRAISON 1T 2027 – BRS + TVA réduite 5.5% + Prêt à Taux Zéro (Sous condition de ressources et d'éligibilité). Vous devenez propriétaire de votre résidence principale, tout en restant locataire du te...",CREDIT AGRICOLE IMMOBILIER PROMOTION
Appartement à vendre - neuf,326 300 €3 647 €/m²,5,3,"89,5",,"Pleyel, Saint-Denis (93200)","LIVRAISON 1T 2027 – BRS + TVA réduite 5.5% + Prêt à Taux Zéro (Sous condition de ressources et d'éligibilité). Vous devenez propriétaire de votre résidence principale, tout en restant locataire du te...",CREDIT AGRICOLE IMMOBILIER PROMOTION
Appartement à vendre,225 000 €3 879 €/m²,3,2,58,1/4,"République-Gare-Porte de Paris, St Denis (93200)","À vendre Beau 3 pièces traversant de 58m² avec terrasse Secteur recherché Dans une copropriété bien entretenue, venez découvrir cet agréable appartement 3 pièces de 58 m², idéalement agencé et situé ...",Sixième Avenue Saint Ouen
Appartement à vendre,225 000 €3 879 €/m²,3,2,58,1/4,"République-Gare-Porte de Paris, St Denis (93200)","À vendre Beau 3 pièces traversant de 58m² avec terrasse Secteur recherché Dans une copropriété bien entretenue, venez découvrir cet agréable appartement 3 pièces de 58 m², idéalement agencé et situé ...",Sixième Avenue Saint Ouen
Duplex à vendre - neuf,254 600 €8 032 €/m²,1,,"31,7",,"Pleyel, Saint-Denis (93200)","LIVRAISON 1T 2027 – SAINT- DENIS (93) située entre l'aéroport Roissy Charles de Gaulle, le Stade de France, l'A86, le périphérique et 2 lignes de RER, la commune est jeune et dynamique, à l'image de ...",CREDIT AGRICOLE IMMOBILIER PROMOTION
Duplex à vendre - neuf,254 600 €8 032 €/m²,1,,"31,7",,"Pleyel, Saint-Denis (93200)","LIVRAISON 1T 2027 – SAINT- DENIS (93) située entre l'aéroport Roissy Charles de Gaulle, le Stade de France, l'A86, le périphérique et 2 lignes de RER, la commune est jeune et dynamique, à l'image de ...",CREDIT AGRICOLE IMMOBILIER PROMOTION
Appartement à vendre,239 900 €2 448 €/m²,5,4,98,5/13,"Delaunay Belleville, Saint Denis (93200)","TRAVAUX DES PARTIES COMMUNES VOTÉS ET PAYÉS. Dans une résidence sécurisée, venez découvrir ce bien exceptionnel de 98 m2 situé au cinquième étage avec ascenseur. L'appartement offre un potentiel exce...",ERA IMMOBILIER SAINT DENIS ET LA PLAINE SAINT DENIS
Appartement à vendre,239 900 €2 448 €/m²,5,4,98,5/13,"Delaunay Belleville, Saint Denis (93200)","TRAVAUX DES PARTIES COMMUNES VOTÉS ET PAYÉS. Dans une résidence sécurisée, venez découvrir ce bien exceptionnel de 98 m2 situé au cinquième étage avec ascenseur. L'appartement offre un potentiel exce...",ERA IMMOBILIER SAINT DENIS ET LA PLAINE SAINT DENIS
Appartement à vendre - neuf,538 400 €4 530 €/m²,5,,"118,9",4/4,"Paul Bert, Aubervilliers (93300)","VOS FRAIS DE NOTAIRE OFFERTS JUSQU'A 70 000 EUROS* Éligible au LLI Devenez propriétaire de votre 3 pièces à partir de 982 euros-mois* Dans le centre-ville d'Aubervilliers, profitez des avantages d'un...",LES NOUVEAUX CONSTRUCTEURS
Appartement à vendre,185 000 €5 781 €/m²,2,1,32,,"République-Gare-Porte de Paris, St Denis (93200)","Charmant 2 pièces lumineux ? Face au canal de Saint-Denis Idéalement situé à seulement 5 minutes du métro Porte de Paris (ligne 13), cet appartement de 2 pièces offre un cadre de vie agréable au sein...",Sixième Avenue Saint Ouen
Appartement à vendre,185 000 €5 781 €/m²,2,1,32,,"République-Gare-Porte de Paris, St Denis (93200)","Charmant 2 pièces lumineux ? Face au canal de Saint-Denis Idéalement situé à seulement 5 minutes du métro Porte de Paris (ligne 13), cet appartement de 2 pièces offre un cadre de vie agréable au sein...",Sixième Avenue Saint Ouen
Appartement à vendre,310 000 €3 780 €/m²,4,3,82,4/4,"République-Gare-Porte de Paris, Saint-Denis (93200)","Pour toute question ou demande d'information, pensez à noter et nous communiquer le numéro de référence lors de votre appel : 16485 Homki est ravi de vous présenter en exclusivité cet appartement sit...",HOMKI
Appartement à vendre,310 000 €3 780 €/m²,4,3,82,4/4,"République-Gare-Porte de Paris, Saint-Denis (93200)","Pour toute question ou demande d'information, pensez à noter et nous communiquer le numéro de référence lors de votre appel : 16485 Homki est ravi de vous présenter en exclusivité cet appartement sit...",HOMKI
Appartement à vendre - neuf,465 600 €5 688 €/m²,4,3,"81,9",,"Pleyel, Saint-Denis (93200)","LIVRAISON 1T 2027 – SAINT-DENIS (93) Située entre l'aéroport Roissy Charles de Gaulle, le Stade de France, l'A86, le périphérique et 2 lignes de RER, la commune est jeune et dynamique, à l'image de c...",CREDIT AGRICOLE IMMOBILIER PROMOTION
Appartement à vendre - neuf,465 600 €5 688 €/m²,4,3,"81,9",,"Pleyel, Saint-Denis (93200)","LIVRAISON 1T 2027 – SAINT-DENIS (93) Située entre l'aéroport Roissy Charles de Gaulle, le Stade de France, l'A86, le périphérique et 2 lignes de RER, la commune est jeune et dynamique, à l'image de c...",CREDIT AGRICOLE IMMOBILIER PROMOTION
Duplex à vendre - neuf,426 000 €6 673 €/m²,3,2,"63,8",,"Pleyel, Saint-Denis (93200)","LIVRAISON 1T 2027 – SAINT- DENIS (93) située entre l'aéroport Roissy Charles de Gaulle, le Stade de France, l'A86, le périphérique et 2 lignes de RER, la commune est jeune et dynamique, à l'image de ...",CREDIT AGRICOLE IMMOBILIER PROMOTION
Duplex à vendre - neuf,426 000 €6 673 €/m²,3,2,"63,8",,"Pleyel, Saint-Denis (93200)","LIVRAISON 1T 2027 – SAINT- DENIS (93) située entre l'aéroport Roissy Charles de Gaulle, le Stade de France, l'A86, le périphérique et 2 lignes de RER, la commune est jeune et dynamique, à l'image de ...",CREDIT AGRICOLE IMMOBILIER PROMOTION
Appartement à vendre,260 000 €3 939 €/m²,3,2,66,1/5,"République-Gare-Porte de Paris, Saint-Denis (93200)","Découvrez ce charmant appartement de 66 m², idéalement situé au 1er étage d'un immeuble moderne construit en 2007, avec ascenseur. Ce bien propose un cadre lumineux avec une grande terrasse de 18,21 ...",Zefir
Appartement à vendre,260 000 €3 939 €/m²,3,2,66,1/5,"République-Gare-Porte de Paris, Saint-Denis (93200)","Découvrez ce charmant appartement de 66 m², idéalement situé au 1er étage d'un immeuble moderne construit en 2007, avec ascenseur. Ce bien propose un cadre lumineux avec une grande terrasse de 18,21 ...",Zefir
Appartement à vendre - neuf,272 000 €6 815 €/m²,2,1,"39,9",,"Pleyel, Saint-Denis (93200)","LIVRAISON 1T 2027 – SAINT-DENIS (93) Située entre l'aéroport Roissy Charles de Gaulle, le Stade de France, l'A86, le périphérique et 2 lignes de RER, la commune est jeune et dynamique, à l'image de c...",CREDIT AGRICOLE IMMOBILIER PROMOTION
Appartement à vendre - neuf,272 000 €6 815 €/m²,2,1,"39,9",,"Pleyel, Saint-Denis (93200)","LIVRAISON 1T 2027 – SAINT-DENIS (93) Située entre l'aéroport Roissy Charles de Gaulle, le Stade de France, l'A86, le périphérique et 2 lignes de RER, la commune est jeune et dynamique, à l'image de c...",CREDIT AGRICOLE IMMOBILIER PROMOTION
Appartement à vendre - neuf,220 800 €3 929 €/m²,3,2,"56,2",,"Pleyel, Saint-Denis (93200)","LIVRAISON 1T 2027 – BRS + TVA réduite 5.5% + Prêt à Taux Zéro (Sous condition de ressources et d'éligibilité). Vous devenez propriétaire de votre résidence principale, tout en restant locataire du te...",CREDIT AGRICOLE IMMOBILIER PROMOTION
Appartement à vendre - neuf,220 800 €3 929 €/m²,3,2,"56,2",,"Pleyel, Saint-Denis (93200)","LIVRAISON 1T 2027 – BRS + TVA réduite 5.5% + Prêt à Taux Zéro (Sous condition de ressources et d'éligibilité). Vous devenez propriétaire de votre résidence principale, tout en restant locataire du te...",CREDIT AGRICOLE IMMOBILIER PROMOTION
Appartement à vendre - neuf,196 000 €8 072 €/m²,1,,"24,3",,"Pleyel, Saint-Denis (93200)","LIVRAISON 1T 2027 – SAINT-DENIS (93) Située entre l'aéroport Roissy Charles de Gaulle, le Stade de France, l'A86, le périphérique et 2 lignes de RER, la commune est jeune et dynamique, à l'image de c...",CREDIT AGRICOLE IMMOBILIER PROMOTION
