type_bien,prix,pieces,chambres,surface,etage,adresse,description,agence
Appartement à vendre - neuf,499 000 €8 317 €/m²,3,,60,,"Les Chalets-Saint Aubin-Saint Etienne, Toulouse (31000)","Envie d'une adresse prestigieuse au cœur de Toulouse ? Découvrez des appartements d'exception du T3 au T4, dans un quartier recherché, entre le Canal du Midi et le Jardin du Grand Rond. * Terrasse ou...",NOVANEA
Appartement à vendre - neuf,499 000 €8 317 €/m²,3,,60,,"Les Chalets-Saint Aubin-Saint Etienne, Toulouse (31000)","Envie d'une adresse prestigieuse au cœur de Toulouse ? Découvrez des appartements d'exception du T3 au T4, dans un quartier recherché, entre le Canal du Midi et le Jardin du Grand Rond. * Terrasse ou...",NOVANEA
Appartement à vendre - neuf,850 000 €6 967 €/m²,4,,122,,"Les Chalets-Saint Aubin-Saint Etienne, Toulouse (31000)","Envie d'une adresse prestigieuse au cœur de Toulouse ? Découvrez des appartements d'exception du T3 au T4, dans un quartier recherché, entre le Canal du Midi et le Jardin du Grand Rond. * Terrasse ou...",NOVANEA
Appartement à vendre - neuf,850 000 €6 967 €/m²,4,,122,,"Les Chalets-Saint Aubin-Saint Etienne, Toulouse (31000)","Envie d'une adresse prestigieuse au cœur de Toulouse ? Découvrez des appartements d'exception du T3 au T4, dans un quartier recherché, entre le Canal du Midi et le Jardin du Grand Rond. * Terrasse ou...",NOVANEA
Duplex à vendre,419 000 €3 809 €/m²,3,2,110,1/3,"Capitole, Toulouse (31000)","TOULOUSE HYPER-CENTRE – DUPLEX DE CHARME – 5 M DE HAUTEUR SOUS PLAFOND – POUTRES APPARENTES – HÔTEL PARTICULIER À deux pas de la place du Capitole et du Pont-Neuf, découvrez ce superbe appartement T3...",NGUYEN BAN Benedicte Agent mandataire Optimhome
Duplex à vendre,419 000 €3 809 €/m²,3,2,110,1/3,"Capitole, Toulouse (31000)","TOULOUSE HYPER-CENTRE – DUPLEX DE CHARME – 5 M DE HAUTEUR SOUS PLAFOND – POUTRES APPARENTES – HÔTEL PARTICULIER À deux pas de la place du Capitole et du Pont-Neuf, découvrez ce superbe appartement T3...",NGUYEN BAN Benedicte Agent mandataire Optimhome
Appartement à vendre,250 000 €4 717 €/m²,2,1,53,4/4,"Capitole, Toulouse (31000)","Toulouse – Quartier La Daurade / Jacobins Appartement T2 – Dernier étage – Immeuble de caractère À deux pas des Jacobins, découvrez ce superbe appartement de type 2, traversant et entièrement rénové,...",ORPI SAINT GEORGES
Appartement à vendre,250 000 €4 717 €/m²,2,1,53,4/4,"Capitole, Toulouse (31000)","Toulouse – Quartier La Daurade / Jacobins Appartement T2 – Dernier étage – Immeuble de caractère À deux pas des Jacobins, découvrez ce superbe appartement de type 2, traversant et entièrement rénové,...",ORPI SAINT GEORGES
Appartement à vendre - neuf,169 000 €4 829 €/m²,2,1,35,,Toulouse (31000),"Avec plus de 15 000 nouveaux habitants chaque année, Toulouse évolue et se réinvente à travers de nombreux projets urbains. Pôle d'excellence en aéronautique et en nouvelles technologies, elle séduit...",GROUPE STRADIM
Appartement à vendre - neuf,169 000 €4 829 €/m²,2,1,35,,Toulouse (31000),"Avec plus de 15 000 nouveaux habitants chaque année, Toulouse évolue et se réinvente à travers de nombreux projets urbains. Pôle d'excellence en aéronautique et en nouvelles technologies, elle séduit...",GROUPE STRADIM
Appartement à vendre - neuf,879 000 €11 269 €/m²,4,3,78,3/3,"Capitole, Toulouse (31000)","[ IMMOBILIER DE PRESTIGE ] Betmajou est le symbole d'un lieu de vie d'exception, une résidence prestigieuse aux prestations très haut standing au cœur du centre historique toulousain face au Palais N...",SAINT-AGNE IMMOBILIER
Appartement à vendre - neuf,879 000 €11 269 €/m²,4,3,78,3/3,"Capitole, Toulouse (31000)","[ IMMOBILIER DE PRESTIGE ] Betmajou est le symbole d'un lieu de vie d'exception, une résidence prestigieuse aux prestations très haut standing au cœur du centre historique toulousain face au Palais N...",SAINT-AGNE IMMOBILIER
Appartement à vendre - neuf,239 000 €4 268 €/m²,3,2,56,,Toulouse (31000),"Avec plus de 15 000 nouveaux habitants chaque année, Toulouse évolue et se réinvente à travers de nombreux projets urbains. Pôle d'excellence en aéronautique et en nouvelles technologies, elle séduit...",GROUPE STRADIM
Appartement à vendre - neuf,239 000 €4 268 €/m²,3,2,56,,Toulouse (31000),"Avec plus de 15 000 nouveaux habitants chaque année, Toulouse évolue et se réinvente à travers de nombreux projets urbains. Pôle d'excellence en aéronautique et en nouvelles technologies, elle séduit...",GROUPE STRADIM
Appartement à vendre - neuf,1 840 000 €12 690 €/m²,5,4,145,,"Capitole, Toulouse (31000)","[ IMMOBILIER DE PRESTIGE ] Betmajou est le symbole d'un lieu de vie d'exception, une résidence prestigieuse aux prestations très haut standing au cœur du centre historique toulousain face au Palais N...",SAINT-AGNE IMMOBILIER
Appartement à vendre - neuf,1 840 000 €12 690 €/m²,5,4,145,,"Capitole, Toulouse (31000)","[ IMMOBILIER DE PRESTIGE ] Betmajou est le symbole d'un lieu de vie d'exception, une résidence prestigieuse aux prestations très haut standing au cœur du centre historique toulousain face au Palais N...",SAINT-AGNE IMMOBILIER
Appartement à vendre - neuf,339 000 €4 346 €/m²,4,3,78,,Toulouse (31000),"Avec plus de 15 000 nouveaux habitants chaque année, Toulouse évolue et se réinvente à travers de nombreux projets urbains. Pôle d'excellence en aéronautique et en nouvelles technologies, elle séduit...",GROUPE STRADIM
Appartement à vendre - neuf,339 000 €4 346 €/m²,4,3,78,,Toulouse (31000),"Avec plus de 15 000 nouveaux habitants chaque année, Toulouse évolue et se réinvente à travers de nombreux projets urbains. Pôle d'excellence en aéronautique et en nouvelles technologies, elle séduit...",GROUPE STRADIM
Appartement à vendre,155 000 €2 348 €/m²,3,2,66,2/4,"Croix Daurade-Borderouge-Paleficat-Trois Cocus , Toulouse (31200)",À Vendre - Appartement T3 d'environ 66 m² avec Terrasse et Parking en Sous-sol - 31200 TOULOUSE. Découvrez cet appartement lumineux de 3 pièces situé dans une copropriété calme sécurisée et bien entr...,HK HOMEKARE
Appartement à vendre,489 000 €4 528 €/m²,4,3,108,2/4,Toulouse (31000),"Le Groupe FG met à la vente ce magnifique appartement dans un immeuble de caractère situé sur le Boulevard de Strasbourg. Profitant d'une vue sur la basilique Saint-Sernin, et d'une perspective agréa...",F G 4
Appartement à vendre,489 000 €4 528 €/m²,4,3,108,2/4,Toulouse (31000),"Le Groupe FG met à la vente ce magnifique appartement dans un immeuble de caractère situé sur le Boulevard de Strasbourg. Profitant d'une vue sur la basilique Saint-Sernin, et d'une perspective agréa...",F G 4
Appartement à vendre,166 000 €7 217 €/m²,2,,23,,"Capitole, Toulouse (31000)","Découvrez cet appartement de 2 pièces, récemment rénové, offrant une surface de 24 m². Idéalement localisé dans un immeuble de qualité, il est entièrement meublé et n'attend plus que vous. Avec son e...",Zefir
Appartement à vendre,166 000 €7 217 €/m²,2,,23,,"Capitole, Toulouse (31000)","Découvrez cet appartement de 2 pièces, récemment rénové, offrant une surface de 24 m². Idéalement localisé dans un immeuble de qualité, il est entièrement meublé et n'attend plus que vous. Avec son e...",Zefir
Appartement à vendre,797 000 €4 981 €/m²,5,4,160,2/3,"Les Chalets-Saint Aubin-Saint Etienne, Toulouse (31000)","Situé au cœur de Toulouse, à proximité immédiate de la place du Dupuy, cet appartement T5 traversant, se compose d'une belle entrée, d'un séjour de 40m², d'une cuisine, de 4 chambres dont une chambre...",JUNOT CHÂTEAUX & PATRIMOINE
Appartement à vendre,797 000 €4 981 €/m²,5,4,160,2/3,"Les Chalets-Saint Aubin-Saint Etienne, Toulouse (31000)","Situé au cœur de Toulouse, à proximité immédiate de la place du Dupuy, cet appartement T5 traversant, se compose d'une belle entrée, d'un séjour de 40m², d'une cuisine, de 4 chambres dont une chambre...",JUNOT CHÂTEAUX & PATRIMOINE
Appartement à vendre,795 000 €5 387 €/m²,3,2,"147,6",,"Capitole, Toulouse (31000)","Situé dans l’un des quartiers les plus recherchés du centre historique de Toulouse, entre la Place des Carmes et la Garonne, ce magnifique appartement de réception se distingue par son élégance, son ...",JUNOT CHÂTEAUX & PATRIMOINE
Appartement à vendre,795 000 €5 387 €/m²,3,2,"147,6",,"Capitole, Toulouse (31000)","Situé dans l’un des quartiers les plus recherchés du centre historique de Toulouse, entre la Place des Carmes et la Garonne, ce magnifique appartement de réception se distingue par son élégance, son ...",JUNOT CHÂTEAUX & PATRIMOINE
Appartement à vendre,380 000 €3 619 €/m²,4,3,105,1/4,Toulouse (31000),"Pour les amoureux du centre ville, Le Groupe FG est heureux de mettre à la vente cet appartement spacieux dans un immeuble de caractère situé sur le Boulevard de Strasbourg. Profitant d'une vue sur l...",F G 4
Appartement à vendre,380 000 €3 619 €/m²,4,3,105,1/4,Toulouse (31000),"Pour les amoureux du centre ville, Le Groupe FG est heureux de mettre à la vente cet appartement spacieux dans un immeuble de caractère situé sur le Boulevard de Strasbourg. Profitant d'une vue sur l...",F G 4
Appartement à vendre,233 000 €6 472 €/m²,2,1,36,3/3,"Capitole, Toulouse (31000)","A VENDRE - 31000 CAPITOLE - APPARTEMENT T2 AU PIED DU CAPITOLE ! Au dernier étage d'une petite copropriété récemment ravalée, vous trouverez ce CHARMANT appartement LUMINEUX et RÉNOVÉ. L'entrée, équi...",HK HOMEKARE
Appartement à vendre,233 000 €6 472 €/m²,2,1,36,3/3,"Capitole, Toulouse (31000)","A VENDRE - 31000 CAPITOLE - APPARTEMENT T2 AU PIED DU CAPITOLE ! Au dernier étage d'une petite copropriété récemment ravalée, vous trouverez ce CHARMANT appartement LUMINEUX et RÉNOVÉ. L'entrée, équi...",HK HOMEKARE
Château à vendre,1 960 000 €3 615 €/m²,20,16,75 000  de terrain,,Toulouse (31000),"À 40mn au Sud Est, de la place du Capitole de Toulouse, édifié en 1467 par une comtesse de la ville, ce château médiéval, vendu avec les meubles, se dresse avec élégance au cœur d’un domaine de plus ...",JUNOT CHÂTEAUX & PATRIMOINE
Château à vendre,1 960 000 €3 615 €/m²,20,16,75 000  de terrain,,Toulouse (31000),"À 40mn au Sud Est, de la place du Capitole de Toulouse, édifié en 1467 par une comtesse de la ville, ce château médiéval, vendu avec les meubles, se dresse avec élégance au cœur d’un domaine de plus ...",JUNOT CHÂTEAUX & PATRIMOINE
Appartement à vendre,153 500 €6 674 €/m²,1,,23,,Toulouse (31000),"Toulouse, au coeur de la ville rose, à deux cent mètres de la place du Capitole, nous vendons ce charmant studio lumineux, de 31.55 m² au sol, dans un quartier animé et dynamique. La surface carrez e...",F G 4
Appartement à vendre,153 500 €6 674 €/m²,1,,23,,Toulouse (31000),"Toulouse, au coeur de la ville rose, à deux cent mètres de la place du Capitole, nous vendons ce charmant studio lumineux, de 31.55 m² au sol, dans un quartier animé et dynamique. La surface carrez e...",F G 4
Appartement à vendre,690 000 €4 313 €/m²,5,1,160,1/4,"Capitole, Toulouse (31000)","A VENDRE EN EXCLUSIVITE –TOULOUSE 31400 - T5 HAUSSMANNIEN AVEC GARAGE BOXE ET CAVE - SECTEUR GRAND ROND Superbe appartement T5 d'environ 150 m², situé au 1er étage d'un immeuble de style haussmannien...",HK HOMEKARE
Appartement à vendre,690 000 €4 313 €/m²,5,1,160,1/4,"Capitole, Toulouse (31000)","A VENDRE EN EXCLUSIVITE –TOULOUSE 31400 - T5 HAUSSMANNIEN AVEC GARAGE BOXE ET CAVE - SECTEUR GRAND ROND Superbe appartement T5 d'environ 150 m², situé au 1er étage d'un immeuble de style haussmannien...",HK HOMEKARE
Appartement à vendre,168 500 €8 425 €/m²,1,,20,,Toulouse (31000),"En hyper centre de Toulouse, à seulement 200m de la place du Capitole, dans un quartier animé et dynamique, venez visiter ce studio très lumineux de 26.45 m². Idéalement situé, Rue des Jacobins, dans...",F G 4
Appartement à vendre,168 500 €8 425 €/m²,1,,20,,Toulouse (31000),"En hyper centre de Toulouse, à seulement 200m de la place du Capitole, dans un quartier animé et dynamique, venez visiter ce studio très lumineux de 26.45 m². Idéalement situé, Rue des Jacobins, dans...",F G 4
Appartement à vendre,1 700 000 €7 405 €/m²,5,,"229,6",,"Capitole, Toulouse (31000)","Idéalement situé dans l’authentique quartier des Carmes, proche de toutes les commodités et disposant d’une véritable vie de quartier, vous bénéficierez du métro à quelques minutes à pied et d’écoles...",JOYAU IMMOBILIER
Appartement à vendre,1 700 000 €7 405 €/m²,5,,"229,6",,"Capitole, Toulouse (31000)","Idéalement situé dans l’authentique quartier des Carmes, proche de toutes les commodités et disposant d’une véritable vie de quartier, vous bénéficierez du métro à quelques minutes à pied et d’écoles...",JOYAU IMMOBILIER
Appartement à vendre,314 000 €5 148 €/m²,2,,61,,"Capitole, Toulouse (31000)","Situé au 1er étage d’une petite copropriété, cet appartement allie charme de l’ancien et confort moderne. L’entrée dessert une belle pièce de vie baignée de lumière, sublimée par un parquet d’origine...",JOYAU IMMOBILIER
Appartement à vendre,314 000 €5 148 €/m²,2,,61,,"Capitole, Toulouse (31000)","Situé au 1er étage d’une petite copropriété, cet appartement allie charme de l’ancien et confort moderne. L’entrée dessert une belle pièce de vie baignée de lumière, sublimée par un parquet d’origine...",JOYAU IMMOBILIER
Appartement à vendre,109 000 €6 813 €/m²,1,,16,,"Les Chalets-Saint Aubin-Saint Etienne, Toulouse (31000)","À VENDRE - STUDIO DE 16 M2 - AVEC COUR COMMUNE - QUARTIER JEANNE D'ARC - SECTEUR 31000 Venez découvrir ce CHARMANT studio récemment RÉNOVÉ, idéalement situé dans le quartier Jeanne d'Arc, à proximité...",HK HOMEKARE
Appartement à vendre,109 000 €6 813 €/m²,1,,16,,"Les Chalets-Saint Aubin-Saint Etienne, Toulouse (31000)","À VENDRE - STUDIO DE 16 M2 - AVEC COUR COMMUNE - QUARTIER JEANNE D'ARC - SECTEUR 31000 Venez découvrir ce CHARMANT studio récemment RÉNOVÉ, idéalement situé dans le quartier Jeanne d'Arc, à proximité...",HK HOMEKARE
Maison à vendre,970 000 €5 448 €/m²,8,5,"178,1",,"Jolimont-Soupetard-Bonhoure, Toulouse (31000)","Découvrez cette lumineuse maison familiale de 178 m² avec vaste terrasse, jardin et garage, idéalement située dans un secteur résidentiel et paisible du quartier recherché de Guilheméry. Un emplaceme...",
Maison à vendre,648 000 €4 761 €/m²,5,4,"136,1",,"Côte Pavée-L Hers-La Terrasse, Toulouse (31000)","Venez découvrir cette maison de ville de 136 m², idéalement située à seulement trois minutes de la place Dupuy. Elle offre une spacieuse pièce de vie avec une cuisine ouverte donnant sur un espace ex...",JOYAU IMMOBILIER
Maison à vendre,648 000 €4 761 €/m²,5,4,"136,1",,"Côte Pavée-L Hers-La Terrasse, Toulouse (31000)","Venez découvrir cette maison de ville de 136 m², idéalement située à seulement trois minutes de la place Dupuy. Elle offre une spacieuse pièce de vie avec une cuisine ouverte donnant sur un espace ex...",JOYAU IMMOBILIER
Appartement à vendre,299 000 €5 395 €/m²,2,,"55,4",,"Capitole, Toulouse (31000)","Grand appartement T2 situé tout proche de la place du Salin aux Carmes. Vendu loué en bail meublé de 1 an, loyer 950 € HC / mois. Charme de l'ancien avec un beau parquet de belles hauteurs sous plafo...",JOYAU IMMOBILIER
Appartement à vendre,299 000 €5 395 €/m²,2,,"55,4",,"Capitole, Toulouse (31000)","Grand appartement T2 situé tout proche de la place du Salin aux Carmes. Vendu loué en bail meublé de 1 an, loyer 950 € HC / mois. Charme de l'ancien avec un beau parquet de belles hauteurs sous plafo...",JOYAU IMMOBILIER
Appartement à vendre,145 600 €6 618 €/m²,2,1,22,,Toulouse (31200),"Saisissez une opportunité d'investissement performante avec le LMNP sous bail commercial. Ce dispositif vous permet de générer des loyers sécurisés, nets d'impôts, sans avoir à gérer votre bien. Un g...",LA CENTRALE DU NEUF
Appartement à vendre,145 600 €6 618 €/m²,2,1,22,,Toulouse (31200),"Saisissez une opportunité d'investissement performante avec le LMNP sous bail commercial. Ce dispositif vous permet de générer des loyers sécurisés, nets d'impôts, sans avoir à gérer votre bien. Un g...",LA CENTRALE DU NEUF
Maison à vendre - neuf,242 500 €2 957 €/m²,4,3,82,,"Saint Jean, Beauvais (60000)","Devenez Propriétaire à BEAUVAIS pour le prix de votre loyer grâce à la LOCATION ACCESSION PSLA LE CLOS SAINT LAZARE. Dans le quartier paisible et prisé de Voisinlieu, emménagez dans un pavillon entiè...",OPAC DE L OISE
Maison à vendre - neuf,242 500 €2 957 €/m²,4,3,82,,"Saint Jean, Beauvais (60000)","Devenez Propriétaire à BEAUVAIS pour le prix de votre loyer grâce à la LOCATION ACCESSION PSLA LE CLOS SAINT LAZARE. Dans le quartier paisible et prisé de Voisinlieu, emménagez dans un pavillon entiè...",OPAC DE L OISE
Maison à vendre,650 000 €2 167 €/m²,13,6,3 420  de terrain,,"Notre Dame du Thil-Saint Lucien, Beauvais (60000)","Dans un village paisible de l’Oise, à 10 minutes de Noailles et 20 minutes de Beauvais, cette grande propriété du XIXe siècle est idéale pour une famille en quête d’espace, de nature et de charme. El...",MARC FOUJOLS CHANTILLY
Maison à vendre,650 000 €2 167 €/m²,13,6,3 420  de terrain,,"Notre Dame du Thil-Saint Lucien, Beauvais (60000)","Dans un village paisible de l’Oise, à 10 minutes de Noailles et 20 minutes de Beauvais, cette grande propriété du XIXe siècle est idéale pour une famille en quête d’espace, de nature et de charme. El...",MARC FOUJOLS CHANTILLY
Terrain avec maison neuve à vendre,349 000 €2 424 €/m²,5,4,382  de terrain,,Beauvais (60000),"Maison en R+1 style architecte d'une surface habitable de 144 m², avec aménagement sur mesure de l'espace intérieur. La maison comprend une grande pièce de vie ouverte sur la cuisine de 53 m² , deux ...",LDT CAUFFRY
Terrain avec maison neuve à vendre,349 000 €2 424 €/m²,5,4,382  de terrain,,Beauvais (60000),"Maison en R+1 style architecte d'une surface habitable de 144 m², avec aménagement sur mesure de l'espace intérieur. La maison comprend une grande pièce de vie ouverte sur la cuisine de 53 m² , deux ...",LDT CAUFFRY
Maison à vendre - neuf,289 000 €3 176 €/m²,5,4,91,,"Saint Jean, Beauvais (60000)","Devenez Propriétaire à BEAUVAIS pour le prix de votre loyer grâce à la LOCATION ACCESSION PSLA LE CLOS SAINT LAZARE. Dans le quartier paisible et prisé de Voisinlieu, emménagez dans un pavillon entiè...",OPAC DE L OISE
Maison à vendre - neuf,289 000 €3 176 €/m²,5,4,91,,"Saint Jean, Beauvais (60000)","Devenez Propriétaire à BEAUVAIS pour le prix de votre loyer grâce à la LOCATION ACCESSION PSLA LE CLOS SAINT LAZARE. Dans le quartier paisible et prisé de Voisinlieu, emménagez dans un pavillon entiè...",OPAC DE L OISE
Terrain avec maison neuve à vendre,369 000 €2 381 €/m²,8,6,382  de terrain,,Beauvais (60000),R+1 toit plat avec aménagement sur mesure de l'espace intérieur et extérieur de 155 m². Le tout est composé de grandes baies et une immense verrière. La maison peut facilement contenir 6 chambres. Bé...,LDT CAUFFRY
Terrain avec maison neuve à vendre,369 000 €2 381 €/m²,8,6,382  de terrain,,Beauvais (60000),R+1 toit plat avec aménagement sur mesure de l'espace intérieur et extérieur de 155 m². Le tout est composé de grandes baies et une immense verrière. La maison peut facilement contenir 6 chambres. Bé...,LDT CAUFFRY
Terrain avec maison neuve à vendre,359 000 €2 316 €/m²,8,6,382  de terrain,,Goincourt (60000),R+1 toit plat avec aménagement sur mesure de l'espace intérieur et extérieur de 155 m². Le tout est composé de grandes baies et une immense verrière. La maison peut facilement contenir 6 chambres. Bé...,LDT CAUFFRY
Terrain avec maison neuve à vendre,359 000 €2 316 €/m²,8,6,382  de terrain,,Goincourt (60000),R+1 toit plat avec aménagement sur mesure de l'espace intérieur et extérieur de 155 m². Le tout est composé de grandes baies et une immense verrière. La maison peut facilement contenir 6 chambres. Bé...,LDT CAUFFRY
Terrain avec maison neuve à vendre,249 000 €2 621 €/m²,6,4,382  de terrain,,Beauvais (60000),"Plain-Pied toit plat avec aménagement sur mesure de l'espace intérieur et extérieur de 95 m². Le tout est composé de 3 modules, dont le principal avec une hauteur sous plafond de 3,5m. Bénéficiez de ...",LDT CAUFFRY
Terrain avec maison neuve à vendre,249 000 €2 621 €/m²,6,4,382  de terrain,,Beauvais (60000),"Plain-Pied toit plat avec aménagement sur mesure de l'espace intérieur et extérieur de 95 m². Le tout est composé de 3 modules, dont le principal avec une hauteur sous plafond de 3,5m. Bénéficiez de ...",LDT CAUFFRY
Appartement à vendre,65 000 €2 031 €/m²,1,,32,,"Saint Jean, Beauvais (60000)","IDEAL INVESTISSEUR - A 15 MN A PIEDS DE LA GARE; BEAUVAIS, 9 rue Henri Lebesgue n°661 Situé au 1er étage appartement de type 1 bis d'une superficie de 32 m² environ comprenant : entrée, séjour, cuisi...",OPAC DE L OISE
Appartement à vendre,65 000 €2 031 €/m²,1,,32,,"Saint Jean, Beauvais (60000)","IDEAL INVESTISSEUR - A 15 MN A PIEDS DE LA GARE; BEAUVAIS, 9 rue Henri Lebesgue n°661 Situé au 1er étage appartement de type 1 bis d'une superficie de 32 m² environ comprenant : entrée, séjour, cuisi...",OPAC DE L OISE
Maison à vendre,242 500 €2 957 €/m²,4,3,82,,"Saint Jean, Beauvais (60000)","Devenez Propriétaire à BEAUVAIS pour le prix de votre loyer grâce à la LOCATION ACCESSION PSLA LE CLOS SAINT LAZARE. Dans le quartier paisible et prisé de Voisinlieu, emménagez dans un pavillon entiè...",OPAC DE L OISE
Maison à vendre,242 500 €2 957 €/m²,4,3,82,,"Saint Jean, Beauvais (60000)","Devenez Propriétaire à BEAUVAIS pour le prix de votre loyer grâce à la LOCATION ACCESSION PSLA LE CLOS SAINT LAZARE. Dans le quartier paisible et prisé de Voisinlieu, emménagez dans un pavillon entiè...",OPAC DE L OISE
Maison à vendre,304 000 €2 406 €/m²,5,4,539  de terrain,,Noailles (60430),"Maison familiale individuelle tout confort PROCHE COLLEGE , construite en 2007 dans un secteur calme et apprécié de NOAILLES. Superficie habitable de 126,37 m² en très bon état, elle offre : une bell...",Dhoury Immobilier
Maison à vendre,289 000 €3 176 €/m²,5,4,91,,"Saint Jean, Beauvais (60000)","Devenez Propriétaire à BEAUVAIS pour le prix de votre loyer grâce à la LOCATION ACCESSION PSLA LE CLOS SAINT LAZARE. Dans le quartier paisible et prisé de Voisinlieu, emménagez dans un pavillon entiè...",OPAC DE L OISE
Maison à vendre,289 000 €3 176 €/m²,5,4,91,,"Saint Jean, Beauvais (60000)","Devenez Propriétaire à BEAUVAIS pour le prix de votre loyer grâce à la LOCATION ACCESSION PSLA LE CLOS SAINT LAZARE. Dans le quartier paisible et prisé de Voisinlieu, emménagez dans un pavillon entiè...",OPAC DE L OISE
Pavillon à vendre,269 500 €2 406 €/m²,6,5,600  de terrain,,"Voisinlieu, Beauvais (60000)","EXCLUSIVITÉ JULIEN CASANOVA IMMOBILIER ! Idéalement situé à Rochy-Condé, un village recherché à moins de 15 minutes de Beauvais et 20 minutes de Clermont. Pavillon Récent comprenant : Au rez-de-chaus...",JULIEN CASANOVA BSK IMMOBILIER
Pavillon à vendre,269 500 €2 406 €/m²,6,5,600  de terrain,,"Voisinlieu, Beauvais (60000)","EXCLUSIVITÉ JULIEN CASANOVA IMMOBILIER ! Idéalement situé à Rochy-Condé, un village recherché à moins de 15 minutes de Beauvais et 20 minutes de Clermont. Pavillon Récent comprenant : Au rez-de-chaus...",JULIEN CASANOVA BSK IMMOBILIER
Appartement à vendre,158 000 €2 548 €/m²,3,2,62,,"Centre Ville, Beauvais (60000)","En Centre ville , au 2eme étage un appartement de type F3 de 62.23m² en tres bon état offrant entrée , séjour et un salon , cuisine aménagée et équipée d'une plaque , d'un four et d'une hotte , coulo...",AGT Immobilier
Appartement à vendre,158 000 €2 548 €/m²,3,2,62,,"Centre Ville, Beauvais (60000)","En Centre ville , au 2eme étage un appartement de type F3 de 62.23m² en tres bon état offrant entrée , séjour et un salon , cuisine aménagée et équipée d'une plaque , d'un four et d'une hotte , coulo...",AGT Immobilier
Appartement à vendre,71 000 €2 290 €/m²,1,,31,,Beauvais (60000),"Appartement de type STUDIO de 31.34 m² au 5ème étage, comprenant : coin entrée avec placard, séjour avec coin-cuisine (bloc kitchenette), salle d'eau avec wc. Chauffage individuel électrique. Un gara...",AGT Immobilier
Appartement à vendre,71 000 €2 290 €/m²,1,,31,,Beauvais (60000),"Appartement de type STUDIO de 31.34 m² au 5ème étage, comprenant : coin entrée avec placard, séjour avec coin-cuisine (bloc kitchenette), salle d'eau avec wc. Chauffage individuel électrique. Un gara...",AGT Immobilier
Maison à vendre,239 900 €1 578 €/m²,9,5,209  de terrain,,"Centre Ville, Beauvais (60000)","Nouvelle exclusivité !! QUARTIER RECHERCHÉ DE MARISSEL : Secteur convoité pour son calme et sa proximité immédiate avec plusieurs lieux stratégiques : Centre-ville de Beauvais, gare SNCF, zone commer...",Stéphane Plaza Immobilier Beauvais
Maison à vendre,239 900 €1 578 €/m²,9,5,209  de terrain,,"Centre Ville, Beauvais (60000)","Nouvelle exclusivité !! QUARTIER RECHERCHÉ DE MARISSEL : Secteur convoité pour son calme et sa proximité immédiate avec plusieurs lieux stratégiques : Centre-ville de Beauvais, gare SNCF, zone commer...",Stéphane Plaza Immobilier Beauvais
Appartement à vendre,91 500 €2 691 €/m²,2,1,34,,"Marissel, Beauvais (60000)","Dans une résidence récente, calme et sécurisée, appartement au 3ème étage de 34m² habitable offrant un séjour avec coin cuisine, une salle de bain avec WC, une chambre. Chauffage éléctrique, place de...",AGT Immobilier
Appartement à vendre,91 500 €2 691 €/m²,2,1,34,,"Marissel, Beauvais (60000)","Dans une résidence récente, calme et sécurisée, appartement au 3ème étage de 34m² habitable offrant un séjour avec coin cuisine, une salle de bain avec WC, une chambre. Chauffage éléctrique, place de...",AGT Immobilier
Appartement à vendre,91 000 €1 444 €/m²,3,2,63,,"Saint Jean, Beauvais (60000)","Résidence Clairefontaine , un appartement de type F3 de 63 m²au 3eme étage offrant entrée, séjour donnant accés sur un balcon , 2 chambres, une cuisine aménagée de meubles bas et hauts , une salle de...",AGT Immobilier
Appartement à vendre,91 000 €1 444 €/m²,3,2,63,,"Saint Jean, Beauvais (60000)","Résidence Clairefontaine , un appartement de type F3 de 63 m²au 3eme étage offrant entrée, séjour donnant accés sur un balcon , 2 chambres, une cuisine aménagée de meubles bas et hauts , une salle de...",AGT Immobilier
Demeure à vendre,650 000 €1 444 €/m²,14,6,3 400  de terrain,,Beauvais (60000),"À 1 h de Paris, dans le département de l'Oise, au coeur du pays de Thelle, une propriété composite du 19e s. alliant maison bourgeoise, corps de ferme et atelier d'artiste dans un jardin romantique. ...",PATRICE BESSE
Demeure à vendre,650 000 €1 444 €/m²,14,6,3 400  de terrain,,Beauvais (60000),"À 1 h de Paris, dans le département de l'Oise, au coeur du pays de Thelle, une propriété composite du 19e s. alliant maison bourgeoise, corps de ferme et atelier d'artiste dans un jardin romantique. ...",PATRICE BESSE
Appartement à vendre,91 000 €1 444 €/m²,3,2,63,,"Saint Jean, Beauvais (60000)","Résidence Clairefontaine , un appartement de type F3 de 63 m² au 3eme étage offrant entrée, séjour donnant accés sur un balcon , 2 chambres, une cuisine aménagée de meubles bas et hauts , une salle d...",AGT Immobilier
Appartement à vendre,91 000 €1 444 €/m²,3,2,63,,"Saint Jean, Beauvais (60000)","Résidence Clairefontaine , un appartement de type F3 de 63 m² au 3eme étage offrant entrée, séjour donnant accés sur un balcon , 2 chambres, une cuisine aménagée de meubles bas et hauts , une salle d...",AGT Immobilier
Maison à vendre,330 000 €1 500 €/m²,7,6,1 100  de terrain,,"Argentine, Beauvais (60000)","Située en léger retrait de la route, cette spacieuse maison de caractère offre de nombreux atouts et un confort de vie remarquable. Maison d'habitation proche centre ville d'environ 220 m² sur 1100 m...",AGT Immobilier
