prix,surface,pieces,adresse,type_bien,departement_nom,departement_code
350 000,"45,2",2.0,"Mazenod-Bellevue-Saint Donat-Banon, Aix-en-Provence (13100)",Appartement,Bouches-du-Rhône,13
350 000,"45,2",2.0,"Mazenod-Bellevue-Saint Donat-Banon, Aix-en-Provence (13100)",Appartement,Bouches-du-Rhône,13
288 700,37,2.0,Marseille 8ème (13008),Appartement,Bouches-du-Rhône,13
288 700,37,2.0,Marseille 8ème (13008),Appartement,Bouches-du-Rhône,13
284 000,82,4.0,"Les Crottes, Marseille 15ème Arrondissement (13015)",Appartement,Bouches-du-Rhône,13
284 000,82,4.0,"Les Crottes, Marseille 15ème Arrondissement (13015)",Appartement,Bouches-du-Rhône,13
274 000,"77,1",4.0,"La Rose, Marseille 13ème (13013)",Appartement,Bouches-du-Rhône,13
274 000,"77,1",4.0,"La Rose, Marseille 13ème (13013)",Appartement,Bouches-du-Rhône,13
268 000,66,3.0,"Sud-Universités, Aix-en-Provence (13100)",Appartement,Bouches-du-Rhône,13
268 000,66,3.0,"Sud-Universités, Aix-en-Provence (13100)",Appartement,Bouches-du-Rhône,13
262 000,"27,2",1.0,"Mazarin-Opéra-Bellegarde-Mairie, Aix-en-Provence (13080)",Appartement,Bouches-du-Rhône,13
262 000,"27,2",1.0,"Mazarin-Opéra-Bellegarde-Mairie, Aix-en-Provence (13080)",Appartement,Bouches-du-Rhône,13
226 000,63,3.0,Marseille 10ème (13010),Appartement,Bouches-du-Rhône,13
226 000,63,3.0,Marseille 10ème (13010),Appartement,Bouches-du-Rhône,13
225 000,75,4.0,"Lodi, Marseille 6ème (13006)",Appartement,Bouches-du-Rhône,13
225 000,75,4.0,"Lodi, Marseille 6ème (13006)",Appartement,Bouches-du-Rhône,13
215 100,"59,9",3.0,"La Rose, Marseille 13ème (13013)",Appartement,Bouches-du-Rhône,13
215 100,"59,9",3.0,"La Rose, Marseille 13ème (13013)",Appartement,Bouches-du-Rhône,13
1 990 000,201,5.0,"Mazarin-Opéra-Bellegarde-Mairie, Aix-en-Provence (13100)",Appartement,Bouches-du-Rhône,13
1 990 000,201,5.0,"Mazarin-Opéra-Bellegarde-Mairie, Aix-en-Provence (13100)",Appartement,Bouches-du-Rhône,13
1 990 000,3 247  de terrain,7.0,Aix-en-Provence (13100),Maison,Bouches-du-Rhône,13
1 990 000,3 247  de terrain,7.0,Aix-en-Provence (13100),Maison,Bouches-du-Rhône,13
1 590 000,"137,5",6.0,"Sud-Universités, Aix-en-Provence (13080)",Appartement,Bouches-du-Rhône,13
1 590 000,"137,5",6.0,"Sud-Universités, Aix-en-Provence (13080)",Appartement,Bouches-du-Rhône,13
1 495 000,175,5.0,"Mazenod-Bellevue-Saint Donat-Banon, Aix-en-Provence (13090)",Appartement,Bouches-du-Rhône,13
1 495 000,175,5.0,"Mazenod-Bellevue-Saint Donat-Banon, Aix-en-Provence (13090)",Appartement,Bouches-du-Rhône,13
1 300 000,116,4.0,"Mazarin-Opéra-Bellegarde-Mairie, Aix-en-Provence (13100)",Appartement,Bouches-du-Rhône,13
1 300 000,116,4.0,"Mazarin-Opéra-Bellegarde-Mairie, Aix-en-Provence (13100)",Appartement,Bouches-du-Rhône,13
1 195 000,1 060  de terrain,5.0,Aix-en-Provence (13090),Terrain,Bouches-du-Rhône,13
1 155 000,3 800  de terrain,11.0,Aix en Provence (13090),Maison,Bouches-du-Rhône,13
1 155 000,3 800  de terrain,11.0,Aix en Provence (13090),Maison,Bouches-du-Rhône,13
