latitude,longitude,prix,surface,pieces,type_bien,code_postal,departement,ville
48.4083582,-4.4871141,282000,63.0,3.0,Appartement,29200,29,Brest
48.4083582,-4.4871141,269000,60.0,3.0,Appartement,29200,29,Brest
48.4083582,-4.4871141,259000,60.9,3.0,Appartement,29200,29,Brest
48.4083582,-4.4871141,250000,40.0,2.0,Appartement,29200,29,Brest
48.4083582,-4.4871141,249000,40.0,2.0,Appartement,29200,29,Brest
48.4083582,-4.4871141,204144,40.0,2.0,Appartement,29200,29,Brest
48.4083582,-4.4871141,204000,42.8,2.0,Appartement,29200,29,Brest
48.4083582,-4.4871141,190000,62.8,3.0,Appartement,29200,29,Brest
48.4083582,-4.4871141,189000,46.0,2.0,Appartement,29200,29,Brest
48.4083582,-4.4871141,183000,38.0,2.0,Appartement,29200,29,Brest
48.4083582,-4.4871141,167000,38.3,2.0,Appartement,29200,29,Brest
48.4083582,-4.4871141,165900,40.7,2.0,Appartement,29200,29,Brest
48.4083582,-4.4871141,155000,40.0,2.0,Appartement,29200,29,Brest
48.4083582,-4.4871141,141000,43.9,2.0,Appartement,29200,29,Brest
48.4083582,-4.4871141,119383,20.1,1.0,Appartement,29200,29,Brest
43.6044303,1.4391951,970000,178.1,8.0,Maison,31000,31,Toulouse
43.6044303,1.4391951,879000,78.0,4.0,Appartement,31000,31,Toulouse
43.6044303,1.4391951,850000,122.0,4.0,Appartement,31000,31,Toulouse
43.5675736,1.3975057,81750,21.7,1.0,Appartement,31100,31,Toulouse
43.6044303,1.4391951,797000,160.0,5.0,Appartement,31000,31,Toulouse
43.6044303,1.4391951,795000,147.6,3.0,Appartement,31000,31,Toulouse
43.6044303,1.4391951,690000,160.0,5.0,Appartement,31000,31,Toulouse
43.6044303,1.4391951,648000,136.1,5.0,Maison,31000,31,Toulouse
43.6044303,1.4391951,499000,60.0,3.0,Appartement,31000,31,Toulouse
43.6044303,1.4391951,489000,108.0,4.0,Appartement,31000,31,Toulouse
43.6044303,1.4391951,419000,110.0,3.0,Appartement,31000,31,Toulouse
43.6036188,1.3886893,400500,102.9,5.0,Appartement,31300,31,Toulouse
43.6044303,1.4391951,380000,105.0,4.0,Appartement,31000,31,Toulouse
43.5652405,1.4728899,369900,88.9,4.0,Appartement,31400,31,Toulouse
43.6044303,1.4391951,339000,78.0,4.0,Appartement,31000,31,Toulouse
43.6044303,1.4391951,314000,61.0,2.0,Appartement,31000,31,Toulouse
43.6044303,1.4391951,299000,55.4,2.0,Appartement,31000,31,Toulouse
43.6044303,1.4391951,250000,53.0,2.0,Appartement,31000,31,Toulouse
43.6044303,1.4391951,239000,56.0,3.0,Appartement,31000,31,Toulouse
43.6044303,1.4391951,233000,36.0,2.0,Appartement,31000,31,Toulouse
43.6044303,1.4391951,230000,52.2,2.0,Appartement,31000,31,Toulouse
43.6044303,1.4391951,1840000,145.0,5.0,Appartement,31000,31,Toulouse
43.6044303,1.4391951,1700000,229.6,5.0,Appartement,31000,31,Toulouse
43.6044303,1.4391951,169000,35.0,2.0,Appartement,31000,31,Toulouse
43.6044303,1.4391951,168500,20.0,1.0,Appartement,31000,31,Toulouse
43.6044303,1.4391951,166000,23.0,2.0,Appartement,31000,31,Toulouse
